Species,Linker Type,Occurrences
acuminata,2,7
,1,6
aestivum,3,1
alata,2,10
,1,8
americanum,2,6
,1,2
,3,1
andersonii,3,1
annuum,1,226
,2,164
,3,26
arietinum,3,1
attenuata,2,24
,1,22
,3,5
aurea,3,2
australis,3,3
baccatum,3,12
,2,11
,1,10
barthii,3,1
benthamiana,2,4
,1,3
bicolor,3,3
brachyantha,3,1
caerulescens,3,4
canephora,3,5
carota,3,1
catenatum,3,1
cavicola,2,2
,1,1
chacoense,3,6
,2,4
,1,3
chinense,3,16
,1,13
,2,13
chinensis,3,5
clevelandii,2,6
,1,5
communis,3,1
comosus,3,2
corymbosa,2,2
,1,1
curcas,3,1
distachyon,3,1
esculenta,3,2
europaea,3,1
glaberrima,3,1
glumipatula,3,1
glutinosa,2,14
,1,12
granatum,3,1
grandis,3,1
guttata,3,1
hallii,3,5
hybrid,3,2
hygrometricum,3,1
impetiginosus,3,3
italica,3,2
linearis,2,5
,1,4
lycopersicum,2,28
,3,21
,1,14
lyrata,3,1
mays,3,2
megalosiphon,2,5
,1,4
melongena,1,1
meridionalis,3,1
miersii,2,6
,1,5
moellendorffii,3,11
nigrum,3,7
,2,4
,1,2
nivara,3,1
notabilis,3,1
obtusifolia,2,16
,1,14
occidentalis,2,6
,1,5
oleracea,3,2
oligosanthes,3,3
pauciflora,2,6
,1,5
perrieri,3,2
persica,3,3
phureja,1,1
,2,1
,3,1
pruriens,3,1
punctata,3,1
quadrivalvis,2,6
,1,5
rapa,3,1
regia,3,1
repanda,2,6
,1,5
rubella,3,1
rufipogon,3,1
rustica,2,7
,1,6
sativa,3,2
shenzhenica,3,1
simulans,2,5
,1,4
spegazzinii,2,5
,1,4
suber,3,4
sylvatica,3,1
sylvestris,2,31
,1,25
,3,6
tabacum,2,61
,1,49
,3,12
tauschii,3,1
thaliana,3,2
trichocarpa,3,2
truncatula,3,2
tuberosum,3,56
,2,38
,1,36
umbratica,2,5
,1,4
urartu,3,1
vinifera,3,1
vulgare,3,1
yedoensis,3,1
